brit_id,pth_url,ark,title,date,relation,relation_url,relation_type
BRIT-A-AR003-003-03-062,https://texashistory.unt.edu/ark/67531/metapth1673333,ark/67531/metapth1673333,"['[Students playing instruments in a temple, Bangkok, Thailand]']",['1967-09~'],,,
BRIT-A-AR003-003-03-063,https://texashistory.unt.edu/ark/67531/metapth1673334,ark/67531/metapth1673334,"['[Dancers in front of museum, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-064,https://texashistory.unt.edu/ark/67531/metapth1673335,ark/67531/metapth1673335,"['[Dancers at a museum, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-065,https://texashistory.unt.edu/ark/67531/metapth1673336,ark/67531/metapth1673336,"['[Dancers performing, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-066,https://texashistory.unt.edu/ark/67531/metapth1673337,ark/67531/metapth1673337,"['[Group of dancers, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-068,https://texashistory.unt.edu/ark/67531/metapth1673339,ark/67531/metapth1673339,"['[Group of dancers, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-067,https://texashistory.unt.edu/ark/67531/metapth1673338,ark/67531/metapth1673338,"['[Group of dancers, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-072,https://texashistory.unt.edu/ark/67531/metapth1673342,ark/67531/metapth1673342,"['[Two dancers in front of a museum, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-073,https://texashistory.unt.edu/ark/67531/metapth1673343,ark/67531/metapth1673343,"['[Group of dancers, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-069,https://texashistory.unt.edu/ark/67531/metapth1673340,ark/67531/metapth1673340,"['[Dancers performing, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-070,https://texashistory.unt.edu/ark/67531/metapth1673341,ark/67531/metapth1673341,"['[Dancers performing, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-075,https://texashistory.unt.edu/ark/67531/metapth1673345,ark/67531/metapth1673345,"['[Group of dancers performing, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-074,https://texashistory.unt.edu/ark/67531/metapth1673344,ark/67531/metapth1673344,"['[Group of dancers performing, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-080,https://texashistory.unt.edu/ark/67531/metapth1673350,ark/67531/metapth1673350,"['[Group of dancers, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-078,https://texashistory.unt.edu/ark/67531/metapth1673348,ark/67531/metapth1673348,"['[Group of dancers, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-077,https://texashistory.unt.edu/ark/67531/metapth1673347,ark/67531/metapth1673347,"['[Group of dancers, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-079,https://texashistory.unt.edu/ark/67531/metapth1673349,ark/67531/metapth1673349,"['[Group of dancers, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-076,https://texashistory.unt.edu/ark/67531/metapth1673346,ark/67531/metapth1673346,"['[Group of dancers, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-082,https://texashistory.unt.edu/ark/67531/metapth1673352,ark/67531/metapth1673352,"['[Stone statue in Wat Pho, Bangkok, Thailand]']",['1967-09~'],,,
BRIT-A-AR003-003-03-084,https://texashistory.unt.edu/ark/67531/metapth1673354,ark/67531/metapth1673354,"['[Wat Pho complex, Bangkok, Thailand]']",['1967-09~'],,,
BRIT-A-AR003-003-03-083,https://texashistory.unt.edu/ark/67531/metapth1673353,ark/67531/metapth1673353,"['[Wat Pho complex, Bangkok, Thailand]']",['1967-09~'],,,
BRIT-A-AR003-003-03-085,https://texashistory.unt.edu/ark/67531/metapth1673355,ark/67531/metapth1673355,"['[Wat Pho complex, Bangkok, Thailand]']",['1967-09~'],,,
BRIT-A-AR003-003-03-081,https://texashistory.unt.edu/ark/67531/metapth1673351,ark/67531/metapth1673351,"['[Group of dancers, Bangkok, Thailand]']",['1963-04~'],,,
BRIT-A-AR003-003-03-086,https://texashistory.unt.edu/ark/67531/metapth1673356,ark/67531/metapth1673356,"['[Lion statue at Wat Pho complex, Bangkok, Thailand]']",['1967-09~'],,,
BRIT-A-AR003-003-03-088,https://texashistory.unt.edu/ark/67531/metapth1673358,ark/67531/metapth1673358,"['[Students in temple, Bangkok, Thailand]']",['1967-09~'],,,
BRIT-A-AR003-003-03-087,https://texashistory.unt.edu/ark/67531/metapth1673357,ark/67531/metapth1673357,"['[Students in a temple, Bangkok, Thailand]']",['1967-09~'],,,
BRIT-A-AR003-003-03-089,https://texashistory.unt.edu/ark/67531/metapth1673359,ark/67531/metapth1673359,"['[Students playing instruments in temple, Bangkok, Thailand]']",['1967-09~'],,,
BRIT-A-AR003-003-03-094,https://texashistory.unt.edu/ark/67531/metapth1673364,ark/67531/metapth1673364,"['[Monk walking in a street, Bangkok, Thailand]']",['1967-09~'],,,
BRIT-A-AR003-003-03-093,https://texashistory.unt.edu/ark/67531/metapth1673363,ark/67531/metapth1673363,"['[Golden Mount at Wat Saket, Bangkok, Thailand]']",['1967-09~'],,,
BRIT-A-AR003-003-03-090,https://texashistory.unt.edu/ark/67531/metapth1673360,ark/67531/metapth1673360,"['[Students playing instruments in a temple, Bangkok, Thailand]']",['1967-09~'],,,
